constituencyId,constituencyName,prefix,firstName,lastName,partyName,partyAbbreviation,isHonourable,isDoctor,isCounsel,profileUrl,imagePath,imageDescription
1,Abbotsford South,Mr.,Bruce,Banman,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Banman-Bruce,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Banman-Bruce.jpg,MLA Bruce Banman
2,Abbotsford West,Mr.,Korky,Neufeld,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Neufeld-Korky,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Neufeld-Korky.jpg,MLA Korky Neufeld
3,Abbotsford-Mission,,Reann,Gasper,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Gasper-Reann,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Rann Gasper.PNG,MLA Reann Gasper
4,Boundary-Similkameen,Ms.,Donegal,Wilson,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Wilson-Donegal,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Wilson-Donegal.jpg,MLA Donegal Wilson
5,Burnaby North,Ms.,Janet,Routledge,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Routledge-Janet,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Routledge-Janet.jpg,MLA Janet Routledge
10,Cariboo-Chilcotin,Mr.,Lorne,Doerkson,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Doerkson-Lorne,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Doerkson-Lorne.jpg,MLA Lorne Doerkson
13,Columbia River-Revelstoke,Mr.,Scott,McInnis,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/McInnis-Scott,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/McInnis-Scott.jpg,MLA Scott McInnis
14,Coquitlam-Burke Mountain,Ms.,Jodie,Wickens,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Wickens-Jodie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Wickens-Jodie.jpg,MLA Jodie Wickens
15,Coquitlam-Maillardville,Ms.,Jennifer,Blatherwick,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Blatherwick-Jennifer,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Blatherwick-Jennifer.jpg,MLA Jennifer Blatherwick
16,Courtenay-Comox,,Brennan,Day,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Day-Brennan,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Day-Brennan.jpg,MLA Brennan Day
17,Cowichan Valley,Ms.,Qwulti'stunaat - Debra,Toporowski,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Toporowski-Qwulti'stunaat%20-%20Debra,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Toporowski-Debra.jpg,MLA Debra Toporowski
